wellenlaenge arbitrary
700.012 -15.971
700.128 5.025
700.243 9.020
700.359 22.016
700.474 -12.989
700.590 13.007
700.705 -0.998
700.821 2.998
700.936 19.994
701.051 -3.011
701.167 14.985
701.282 10.980
701.397 28.976
701.512 20.972
701.628 25.967
701.743 15.963
701.858 -0.041
701.973 -37.045
702.088 -11.050
702.203 22.946
702.318 36.942
702.434 -0.063
702.549 15.933
702.664 46.929
702.779 -8.075
702.894 -2.080
703.009 95.916
703.123 15.912
703.238 71.908
703.353 32.904
703.468 26.899
703.583 -33.105
703.698 -9.109
703.813 77.887
703.927 -22.117
704.042 -18.121
704.157 24.875
704.272 31.870
704.386 -10.134
704.501 28.862
704.615 19.858
704.730 14.854
704.845 -7.150
704.959 -8.154
705.074 -45.158
705.188 13.838
705.303 -26.166
705.417 -15.170
705.532 4.826
705.646 12.822
705.761 18.818
705.875 -40.186
705.989 37.810
706.104 23.806
706.218 18.802
706.332 -25.202
706.447 30.794
706.561 19.790
706.675 51.786
706.789 34.782
706.903 21.779
707.018 55.775
707.132 4.771
707.246 1.767
707.360 17.763
707.474 6.759
707.588 54.755
707.702 25.752
707.816 39.748
707.930 27.744
708.044 -1.260
708.158 3.736
708.272 -20.267
708.386 22.729
708.500 39.725
708.613 31.721
708.727 4.718
708.841 26.714
708.955 -9.290
709.069 -31.294
709.182 -19.297
709.296 -0.301
709.410 3.695
709.523 35.692
709.637 36.688
709.751 35.684
709.864 3.681
709.978 18.677
710.091 35.673
710.205 -35.330
710.318 -54.334
710.432 8.662
710.545 -4.341
710.659 60.655
710.772 3.652
710.885 -19.352
710.999 -0.355
711.112 -23.359
711.225 39.637
711.339 15.634
711.452 24.630
711.565 24.627
711.678 37.623
711.792 27.620
711.905 -2.384
712.018 -10.387
712.131 -35.391
712.244 -52.394
712.357 61.602
712.470 19.599
712.583 -12.404
712.696 -8.408
712.809 -22.411
712.922 18.585
713.035 1.582
713.148 -38.422
713.261 -8.425
713.374 -25.428
713.487 -24.432
713.600 -5.435
713.713 32.562
713.825 -8.442
713.938 -10.445
714.051 34.552
714.164 -6.452
714.276 -9.455
714.389 11.542
714.502 37.538
714.614 23.535
714.727 -6.468
714.840 7.528
714.952 -2.475
715.065 -21.478
715.177 5.519
715.290 -27.485
715.402 37.512
715.515 -18.491
715.627 15.506
715.739 -14.497
715.852 -43.501
715.964 0.496
716.076 -42.507
716.189 44.490
716.301 26.487
716.413 35.484
716.526 40.480
716.638 12.477
716.750 55.474
716.862 -13.529
716.974 -0.532
717.086 23.465
717.199 7.462
717.311 5.459
717.423 38.455
717.535 -0.548
717.647 29.449
717.759 74.446
717.871 32.443
717.983 -35.560
718.095 -18.563
718.207 -2.566
718.318 25.431
718.430 17.428
718.542 24.425
718.654 6.422
718.766 -15.581
718.878 -37.584
718.989 -61.587
719.101 -27.590
719.213 18.407
719.324 23.404
719.436 -5.599
719.548 -15.602
719.659 24.395
719.771 22.393
719.882 -5.610
719.994 21.387
720.105 -42.616
720.217 -30.619
720.328 15.378
720.440 -10.625
720.551 51.372
720.663 24.369
720.774 27.367
720.885 21.364
720.997 15.361
721.108 21.358
721.219 -58.645
721.331 -20.648
721.442 57.350
721.553 -33.653
721.664 -17.656
721.776 1.341
721.887 28.338
721.998 -4.664
722.109 47.333
722.220 27.330
722.331 18.327
722.442 35.325
722.553 46.322
722.664 -8.681
722.775 10.316
722.886 -37.686
722.997 -6.689
723.108 -7.692
723.219 26.306
723.330 -6.697
723.440 15.300
723.551 -15.702
723.662 34.295
723.773 33.292
723.884 7.290
723.994 30.287
724.105 53.284
724.216 10.282
724.326 -7.721
724.437 19.276
724.548 -14.726
724.658 47.271
724.769 24.269
724.879 7.266
724.990 11.263
725.100 -20.739
725.211 2.258
725.321 8.256
725.432 -30.747
725.542 -30.749
725.652 -2.752
725.763 24.245
725.873 8.243
725.983 -4.760
726.094 -24.762
726.204 26.235
726.314 10.233
726.424 18.230
726.535 4.228
726.645 24.225
726.755 -15.777
726.865 -13.780
726.975 23.218
727.085 15.215
727.195 -42.787
727.305 -52.789
727.415 -32.792
727.525 -18.794
727.635 10.203
727.745 17.201
727.855 17.198
727.965 28.196
728.075 -9.806
728.185 -7.809
728.295 41.189
728.405 5.186
728.514 27.184
728.624 32.182
728.734 -28.821
728.844 1.177
728.953 -2.825
729.063 -3.828
729.173 -15.830
729.282 29.168
729.392 44.165
729.501 43.163
729.611 8.161
729.721 -16.842
729.830 -25.844
729.940 27.154
730.049 14.151
730.159 49.149
730.268 44.147
730.377 -27.856
730.487 51.142
730.596 -18.860
730.705 3.138
730.815 12.135
730.924 5.133
731.033 7.131
731.143 -20.871
731.252 -17.874
731.361 36.124
731.470 7.122
731.579 13.120
731.688 46.118
731.798 22.115
731.907 -21.887
732.016 45.111
732.125 17.109
732.234 1.107
732.343 10.104
732.452 43.102
732.561 60.100
732.670 43.098
732.778 25.096
732.887 -39.906
732.996 -21.909
733.105 -20.911
733.214 5.087
733.323 -2.915
733.431 35.083
733.540 25.081
733.649 4.079
733.758 25.077
733.866 38.075
733.975 -1.928
734.084 -9.930
734.192 -57.932
