a1_I_mA,a1_I_A,a1_U_V,a1_P_U_I,a1_Pp_W,a1_Fehler_Pp,a1_teilaufgabe_b,I mA,a2_I_mA_x_2,a2_I_A_x_2,a2_Pp_mW,a2_Pp_W,a2_teilaufgabe_b,I_A_Dominik_Diode1,Pp_W_Dominik_Diode1,a2_b_Pp_gefittet,a2_b_PL_durchPP_prozent
301,0.301,3.434,1.033634,0.001,0.001,0.0967460435705482,300,600,0.6,0,0,,0.3,0.001,-0.141,0
325,0.325,3.453,1.122225,0.001,0.001,0.0891086903250239,600,1200,1.2,0,0,,0.325,0.001,0.858,0
350,0.35,3.474,1.2159,0.001,0.001,0.0822436055596677,900,1800,1.8,0.1,0.0001,,0.35,0.001,1.857,0.0053850296176629
375,0.375,3.493,1.309875,0.001,0.001,0.0763431625155072,1200,2400,2.4,0.1,0.0001,,0.375,0.004,2.856,0.00350140056022409
400,0.4,3.514,1.4056,0.04,0.001,2.84575981787137,1500,3000,3,0.1,0.0001,,0.4,0.043,3.855,0.00259403372243839
425,0.425,3.534,1.50195,0.085,0.001,5.65930956423316,1800,3600,3.6,0.2,0.0002,,0.425,0.077,4.854,0.00412031314379893
450,0.45,3.553,1.59885,0.128,0.001,8.0057541357851,2100,4200,4.2,1.5,0.0015,,0.45,0.114,5.853,0.0256278831368529
475,0.475,3.573,1.697175,0.174,0.001,10.2523310795881,2400,4800,4.8,52.5,0.0525,,0.475,0.152,6.852,0.766199649737303
500,0.5,3.592,1.796,0.221,0.001,12.3051224944321,2700,5400,5.4,96.4,0.0964,,0.5,0.196,7.851,1.22786906126608
750,0.75,3.77,2.8275,0.668,0.001,23.6251105216622,3000,6000,6,142.1,0.1421,,0.75,0.642,8.85,1.60564971751412
1000,1,3.931,3.931,1.12,0.002,28.491477995421,3300,6600,6.6,175.5,0.1755,,1,1.09,9.849,1.78190679256777
1250,1.25,4.08,5.1,1.571,0.002,30.8039215686275,max,7100,7.1,204.2,0.2042,,1.25,1.54,10.515,1.94198763670946
1500,1.5,4.219,6.3285,2.014,0.002,31.8242869558347,,,,,,,1.5,1.98,,
1750,1.75,4.352,7.616,2.451,0.003,32.1822478991597,,,,,,,1.75,2.41,,
2000,2,4.479,8.958,2.88,0.01,32.1500334896182,,,,,,,2,2.84,,
2250,2.25,4.601,10.35225,3.29,0.01,31.7805308024826,,,,,,,2.25,3.25,,
2500,2.5,4.72,11.8,3.7,0.01,31.3559322033898,,,,,,,2.5,3.63,,
2750,2.75,4.835,13.29625,4.07,0.01,30.6101344364012,,,,,,,3,4.35,,
3000,3,4.947,14.841,4.44,0.01,29.9171214877704,,,,,,,3.25,4.73,,
3250,3.25,5.057,16.43525,4.8,0.01,29.2055186261237,,,,,,,3.5,5.05,,
3500,3.5,5.167,18.0845,5.16,0.01,28.5327213912466,,,,,,,,,,
