Wellenlaenge,Intensitaet1,Abstand,Intensitaet2
662.491,4,0,362.809
662.614,11,0.001,335.57
662.736,-11,0.002,266.207
662.859,0,0.003,168.538
662.982,-2,0.004,61.187
663.104,-13,0.005,34.736
663.227,-3,0.006,104.147
663.349,10,0.008,138.656
663.472,15,0.009,139.958
663.594,-24,0.01,114.41
663.717,-24,0.011,74.732
663.839,-2,0.012,33.108
663.962,-9,0.013,0.513
664.084,14,0.014,21.508
664.207,-16,0.015,29.156
664.329,-5,0.016,25.381
664.451,-19,0.017,15.898
664.574,9,0.018,5.737
664.696,-26,0.019,2.699
664.818,-20,0.02,7.254
664.94,-5,0.021,8.565
665.063,-19,0.023,6.939
665.185,-1,0.024,4.503
665.307,-13,0.025,2.059
665.429,-18,0.026,1.016
665.551,-21,0.027,1.089
665.673,-9,0.028,1.801
665.796,-26,0.029,3.279
665.918,4,0.03,3.995
666.04,1,0.031,4.645
666.162,10,0.032,3.807
666.284,-20,0.033,3.657
666.406,-20,0.034,2.79
666.528,0,0.035,1.556
666.65,-28,0.036,0.77
666.772,-12,0.038,0.65
666.893,2,0.039,1.223
667.015,0,0.04,0.97
667.137,-12,0.041,1.627
667.259,-32,0.042,1.879
667.381,-4,0.043,1.833
667.503,2,0.044,2.028
667.624,-21,0.045,2.085
667.746,-16,0.046,1.629
667.868,13,0.047,1.214
667.989,-5,0.048,0.871
668.111,-4,0.049,0.553
668.233,-16,0.05,1.117
668.354,-10,0.051,0.743
668.476,22,0.053,1.304
668.597,-12,0.054,1.194
668.719,6,0.055,1.461
668.841,2,0.056,0.871
668.962,-9,0.057,0.267
669.084,-11,0.058,0.347
669.205,22,0.059,1.34
669.326,13,0.06,1.989
669.448,-24,0.061,1.815
669.569,-4,0.062,1.443
669.691,-1,0.063,0.18
669.812,-13,0.064,1.66
669.933,2,0.065,3.568
670.055,-12,0.066,5.629
670.176,0,0.068,7.277
670.297,0,0.069,7.889
670.418,-18,0.07,7.507
670.54,-11,0.071,7.648
670.661,-20,0.072,6.571
670.782,-25,0.073,5.467
670.903,2,0.074,3.867
671.024,-11,0.075,3.028
671.145,-21,0.076,2.486
671.266,-15,0.077,2.045
671.387,0,0.078,2.323
671.508,-15,0.079,3.026
671.629,-9,0.08,4.204
671.75,-3,0.081,5.547
671.871,-15,0.083,7.029
671.992,-6,0.084,9.725
672.113,-26,0.085,12.7
672.234,-12,0.086,15.018
672.355,-8,0.087,16.98
672.476,-8,0.088,16.65
672.597,10,0.089,13.491
672.717,-9,0.09,6.72
672.838,-15,0.091,4.33
672.959,-25,0.092,18.214
673.08,-18,0.093,33.406
673.2,-1,0.094,46.926
673.321,-28,0.095,55.911
673.442,-10,0.096,58.496
673.562,-12,0.098,53.327
673.683,-5,0.099,41.331
673.804,-7,0.1,23.145
673.924,16,0.101,3.039
674.045,-34,0.102,15.208
674.165,-9,0.103,28.48
674.286,-2,0.104,34.43
674.406,-17,0.105,33.13
674.527,-16,0.106,24.408
674.647,-17,0.107,12.747
674.767,7,0.108,0.659
674.888,-16,0.109,9.836
675.008,2,0.11,15.5
675.129,-12,0.111,16.717
675.249,18,0.113,13.666
675.369,-3,0.114,8.252
675.489,4,0.115,2.278
675.61,-4,0.116,1.882
675.73,-19,0.117,4.6
675.85,-11,0.118,4.738
675.97,-6,0.119,2.182
676.091,-7,0.12,0.077
676.211,-3,0.121,1.982
676.331,-4,0.122,2.652
676.451,3,0.123,3.197
676.571,5,0.124,2.49
676.691,-12,0.125,1.135
676.811,-10,0.126,0.621
676.931,-2,0.128,0.533
677.051,-14,0.129,0.396
677.171,-6,0.13,0.007
677.291,-14,0.131,0.337
677.411,-1,0.132,0.592
677.531,-18,0.133,1.397
677.651,-21,0.134,1.955
677.77,-23,0.135,1.667
677.89,-17,0.136,1.565
678.01,-18,0.137,1.592
678.13,-2,0.138,1.64
678.25,10,0.139,1.218
678.369,-30,0.14,0.966
678.489,-20,0.141,1.527
678.609,-17,0.143,1.395
678.728,-19,0.144,2.261
678.848,-15,0.145,2.517
678.968,-1,0.146,2.846
679.087,6,0.147,3.722
679.207,4,0.148,4.298
679.326,7,0.149,4.726
679.446,-17,0.15,5.531
679.565,-9,0.151,6.138
679.685,5,0.152,7.77
679.804,-3,0.153,8.506
679.924,-8,0.154,9.278
680.043,-16,0.155,10.271
680.162,-30,0.156,10.859
680.282,-27,0.158,9.531
680.401,-13,0.159,7.712
680.52,-6,0.16,4.605
680.64,-7,0.161,0.379
680.759,-15,0.162,4.412
680.878,-18,0.163,9.81
680.998,-1,0.164,12.978
681.117,9,0.165,15.72
681.236,-12,0.166,16.31
681.355,-9,0.167,14.458
681.474,-8,0.168,10.919
681.593,-18,0.169,5.599
681.712,-2,0.17,0.162
681.832,1,0.171,5.142
681.951,15,0.173,8.213
682.07,6,0.174,9.531
682.189,0,0.175,8.595
682.308,-24,0.176,6.372
682.427,11,0.177,2.588
682.545,-5,0.178,0.952
682.664,-16,0.179,3.628
682.783,-29,0.18,5.315
682.902,8,0.181,5.205
683.021,-9,0.182,4.141
683.14,-10,0.183,2.283
683.259,2,0.184,0.02
683.377,26,0.185,0.943
683.496,-19,0.186,1.726
683.615,-1,0.188,2.079
683.734,0,0.189,1.114
683.852,-15,0.19,0.448
683.971,-8,0.191,0.364
684.09,-14,0.192,0.776
684.208,-9,0.193,0.594
684.327,-22,0.194,1.319
684.445,0,0.195,0.567
684.564,-4,0.196,0.37
684.682,-4,0.197,0.037
684.801,-3,0.198,0.328
684.919,-6,0.199,0.174
685.038,-19,0.2,0.188
685.156,-9,0.201,0.53
685.275,-10,0.203,0.109
685.393,3,0.204,0.252
685.511,7,0.205,0.135
685.63,-2,0.206,0.1
685.748,-9,0.207,0.067
685.866,-7,0.208,0.047
685.985,-3,0.209,0.232
686.103,2,0.21,0.252
686.221,4,0.211,0.342
686.339,2,0.212,0.062
686.457,-13,0.213,0.061
686.576,0,0.214,0.114
686.694,7,0.215,0.372
686.812,16,0.216,0.269
686.93,8,0.218,0.162
687.048,-5,0.219,0.403
687.166,-19,0.22,0.482
687.284,-26,0.221,0.054
687.402,-14,0.222,0.261
687.52,-10,0.223,0.032
687.638,2,0.224,0.115
687.756,-23,0.225,0.353
687.874,2,0.226,0.263
687.992,-19,0.227,0.041
688.11,-21,0.228,0.393
688.227,-6,0.229,0.067
688.345,-15,0.23,0.138
688.463,-6,0.231,0.212
688.581,-10,0.233,0.18
688.699,2,0.234,0.117
688.816,-20,0.235,0.149
688.934,-14,0.236,0.195
689.052,-7,0.237,0.127
689.169,-5,0.238,0.003
689.287,-16,0.239,0.069
689.405,3,0.24,0.148
689.522,3,0.241,0.336
689.64,-2,0.242,0.122
689.757,-2,0.243,0.08
689.875,-9,0.244,0.044
689.992,-13,0.245,0.108
690.11,-6,0.246,0.129
690.227,-15,0.248,0.047
690.345,0,0.249,0.352
690.462,-12,0.25,0.396
690.58,-10,0.251,0.279
690.697,-33,0.252,0.21
690.814,-9,0.253,0.126
690.932,10,0.254,0.208
691.049,-9,0.255,0.021
691.166,-3,0.256,0.1
691.283,3,0.257,0.458
691.401,4,0.258,0.474
691.518,-17,0.259,0.218
691.635,-2,0.26,0.091
691.752,-26,0.261,0.267
691.869,-14,0.263,0.439
691.986,11,0.264,0.046
692.104,20,0.265,0.037
692.221,-3,0.266,0.162
692.338,-11,0.267,0.001
692.455,4,0.268,0.021
692.572,5,0.269,0.083
692.689,32,0.27,0.378
692.806,-8,0.271,0.265
692.923,-12,0.272,0.375
693.039,8,0.273,0.149
693.156,-10,0.274,0.085
693.273,-1,0.275,0.015
693.39,-14,0.276,0.368
693.507,-17,0.278,0.044
693.624,16,0.279,0.015
693.74,-9,0.28,0.373
693.857,-7,0.281,0.005
693.974,-16,0.282,0.096
694.091,0,0.283,0.002
694.207,1,0.284,0.38
694.324,-22,0.285,0.268
694.441,3,0.286,0.369
694.557,-10,0.287,0.299
694.674,-4,0.288,0.1
694.79,7,0.289,0.005
694.907,0,0.29,0.436
695.023,-7,0.291,0.076
695.14,-22,0.293,0.318
695.256,-17,0.294,0.328
695.373,-6,0.295,0.066
695.489,-7,0.296,0.132
695.606,-13,0.297,0.103
695.722,-7,0.298,0.013
695.838,-16,0.299,0.061
695.955,-25,0.3,0.24
696.071,-5,0.301,0.046
696.187,3,0.302,0.452
696.304,-26,0.303,0.138
696.42,-5,0.304,0.067
696.536,-1,0.305,0.134
696.652,-10,0.306,0.117
696.769,-19,0.308,0.362
696.885,0,0.309,0.28
697.001,-15,0.31,0.377
697.117,-6,0.311,0.152
697.233,-3,0.312,0.19
697.349,-3,0.313,0.388
697.465,-12,0.314,0.052
697.581,-2,0.315,0.052
697.697,3,0.316,0.12
697.813,0,0.317,0.022
697.929,-9,0.318,0.219
698.045,-5,0.319,0.314
698.161,7,0.32,0.291
698.277,4,0.321,0.012
698.393,1,0.323,0.323
698.509,-7,0.324,0.399
698.624,-8,0.325,0.238
698.74,1,0.326,0.012
698.856,3,0.327,0.099
698.972,-5,0.328,0.41
699.087,-3,0.329,0.086
699.203,-4,0.33,0.044
699.319,1,0.331,0.066
699.434,-25,0.332,0.333
699.55,-2,0.333,0.341
699.666,-9,0.334,0.222
699.781,-4,0.335,0.14
699.897,-24,0.336,0.125
700.012,-34,0.338,0.229
700.128,3,0.339,0.289
700.243,-24,0.34,0.429
700.359,-21,0.341,0.135
700.474,-29,0.342,0.283
700.59,5,0.343,0.006
700.705,21,0.344,0.039
700.821,15,0.345,0.857
700.936,2,0.346,0.502
701.051,-7,0.347,0.649
701.167,3,0.348,0.18
701.282,-9,0.349,0.078
701.397,-12,0.35,0.132
701.512,1,0.352,0.092
701.628,1,0.353,0.018
701.743,-19,0.354,0.38
701.858,-22,0.355,0.185
701.973,3,0.356,0.139
702.088,2,0.357,0.069
702.203,8,0.358,0.062
702.318,-12,0.359,0.003
702.434,-18,0.36,0.168
702.549,-11,0.361,0.11
702.664,-7,0.362,0.128
