x_spektrum,y_spektrum,x_fourier_transformed,y_fourier_transformed
662.491,-4.000,0.000,332.544
662.614,-6.000,0.001,306.713
662.736,7.000,0.002,243.814
662.859,3.000,0.003,154.155
662.982,-7.000,0.004,56.465
663.104,-6.000,0.005,31.831
663.227,8.000,0.006,94.847
663.349,-5.000,0.008,126.715
663.472,13.000,0.009,127.035
663.594,4.000,0.010,102.997
663.717,-7.000,0.011,67.165
663.839,-11.000,0.012,28.784
663.962,2.000,0.013,1.913
664.084,-1.000,0.014,21.313
664.207,5.000,0.015,28.020
664.329,11.000,0.016,24.337
664.451,9.000,0.017,16.170
664.574,-17.000,0.018,5.750
664.696,13.000,0.019,1.823
664.818,16.000,0.020,6.243
664.940,-2.000,0.021,7.742
665.063,13.000,0.023,6.118
665.185,-5.000,0.024,4.536
665.307,3.000,0.025,1.836
665.429,-2.000,0.026,0.733
665.551,7.000,0.027,0.925
665.673,0.000,0.028,1.233
665.796,-8.000,0.029,1.828
665.918,0.000,0.030,2.453
666.040,-10.000,0.031,2.631
666.162,5.000,0.032,2.214
666.284,3.000,0.033,2.023
666.406,8.000,0.034,1.014
666.528,11.000,0.035,0.587
666.650,-13.000,0.036,0.083
666.772,16.000,0.038,0.054
666.893,19.000,0.039,0.179
667.015,2.000,0.040,0.157
667.137,-1.000,0.041,0.553
667.259,-1.000,0.042,1.455
667.381,8.000,0.043,1.302
667.503,-3.000,0.044,0.927
667.624,8.000,0.045,0.635
667.746,-4.000,0.046,0.977
667.868,6.000,0.047,0.509
667.989,-11.000,0.048,0.137
668.111,26.000,0.049,0.280
668.233,-9.000,0.050,0.255
668.354,13.000,0.051,0.113
668.476,8.000,0.053,0.275
668.597,5.000,0.054,0.521
668.719,8.000,0.055,0.373
668.841,6.000,0.056,0.435
668.962,2.000,0.057,0.669
669.084,-12.000,0.058,1.519
669.205,13.000,0.059,2.418
669.326,-9.000,0.060,3.479
669.448,-8.000,0.061,4.670
669.569,6.000,0.062,5.191
669.691,-29.000,0.063,4.947
669.812,-12.000,0.064,4.614
669.933,-19.000,0.065,2.651
670.055,-13.000,0.066,1.073
670.176,-3.000,0.068,1.629
670.297,11.000,0.069,4.597
670.418,5.000,0.070,5.797
670.540,31.000,0.071,6.336
670.661,18.000,0.072,6.519
670.782,18.000,0.073,5.487
670.903,0.000,0.074,3.561
671.024,-3.000,0.075,2.030
671.145,5.000,0.076,0.211
671.266,14.000,0.077,1.501
671.387,28.000,0.078,1.820
671.508,0.000,0.079,1.781
671.629,-13.000,0.080,1.454
671.750,28.000,0.081,1.180
671.871,-13.000,0.083,0.291
671.992,-6.000,0.084,0.248
672.113,16.000,0.085,0.631
672.234,19.000,0.086,1.065
672.355,-8.000,0.087,1.032
672.476,5.000,0.088,1.242
672.597,-9.000,0.089,0.182
672.717,22.000,0.090,0.088
672.838,7.000,0.091,0.478
672.959,0.000,0.092,0.772
673.080,11.000,0.093,0.043
673.200,16.000,0.094,0.071
673.321,-4.000,0.095,0.136
673.442,-6.000,0.096,0.171
673.562,15.000,0.098,0.254
673.683,-6.000,0.099,0.422
673.804,-7.000,0.100,0.641
673.924,14.000,0.101,0.447
674.045,-1.000,0.102,0.095
674.165,8.000,0.103,0.013
674.286,-5.000,0.104,0.137
674.406,-2.000,0.105,0.567
674.527,17.000,0.106,0.236
674.647,-2.000,0.107,0.057
674.767,-13.000,0.108,0.016
674.888,19.000,0.109,0.787
675.008,-7.000,0.110,0.230
675.129,3.000,0.111,0.096
675.249,7.000,0.113,0.070
675.369,-1.000,0.114,0.197
675.489,21.000,0.115,0.215
675.610,8.000,0.116,0.185
675.730,-16.000,0.117,0.517
675.850,-13.000,0.118,0.006
675.970,4.000,0.119,0.240
676.091,5.000,0.120,0.368
676.211,-9.000,0.121,0.234
676.331,-7.000,0.122,0.279
676.451,6.000,0.123,0.414
676.571,-2.000,0.124,0.235
676.691,-2.000,0.125,0.383
676.811,-8.000,0.126,0.203
676.931,0.000,0.128,0.339
677.051,16.000,0.129,0.228
677.171,-17.000,0.130,0.023
677.291,6.000,0.131,0.423
677.411,20.000,0.132,0.049
677.531,2.000,0.133,0.446
677.651,18.000,0.134,0.441
677.770,4.000,0.135,0.008
677.890,9.000,0.136,0.644
678.010,1.000,0.137,0.349
678.130,-7.000,0.138,0.209
678.250,26.000,0.139,0.496
678.369,15.000,0.140,0.224
678.489,-7.000,0.141,0.121
678.609,-11.000,0.143,0.523
678.728,-29.000,0.144,0.323
678.848,-4.000,0.145,0.601
678.968,3.000,0.146,0.434
679.087,6.000,0.147,0.523
679.207,-13.000,0.148,0.223
679.326,-11.000,0.149,0.355
679.446,13.000,0.150,0.403
679.565,14.000,0.151,0.181
679.685,13.000,0.152,0.487
679.804,16.000,0.153,0.323
679.924,9.000,0.154,0.256
680.043,-2.000,0.155,0.019
680.162,-13.000,0.156,0.129
680.282,6.000,0.158,0.297
680.401,1.000,0.159,0.315
680.520,19.000,0.160,0.142
680.640,17.000,0.161,0.227
680.759,19.000,0.162,0.085
680.878,-20.000,0.163,0.559
680.998,1.000,0.164,0.549
681.117,5.000,0.165,0.253
681.236,5.000,0.166,0.255
681.355,-4.000,0.167,0.016
681.474,3.000,0.168,0.149
681.593,-1.000,0.169,0.165
681.712,8.000,0.170,0.067
681.832,2.000,0.171,0.232
681.951,0.000,0.173,0.147
682.070,2.000,0.174,0.068
682.189,10.000,0.175,0.214
682.308,2.000,0.176,0.179
682.427,15.000,0.177,0.294
682.545,23.000,0.178,0.686
682.664,8.000,0.179,0.505
682.783,13.000,0.180,0.499
682.902,9.000,0.181,0.164
683.021,-5.000,0.182,0.649
683.140,-14.000,0.183,0.169
683.259,3.000,0.184,0.081
683.377,-6.000,0.185,0.397
683.496,4.000,0.186,0.231
683.615,10.000,0.188,0.162
683.734,2.000,0.189,0.058
683.852,2.000,0.190,0.375
683.971,0.000,0.191,0.062
684.090,21.000,0.192,0.136
684.208,5.000,0.193,0.215
684.327,-4.000,0.194,0.178
684.445,3.000,0.195,0.267
684.564,-1.000,0.196,0.054
684.682,13.000,0.197,0.222
684.801,19.000,0.198,0.149
684.919,-6.000,0.199,0.244
685.038,16.000,0.200,0.281
685.156,-7.000,0.201,0.310
685.275,1.000,0.203,0.143
685.393,-6.000,0.204,0.454
685.511,-1.000,0.205,0.077
685.630,9.000,0.206,0.097
685.748,13.000,0.207,0.102
685.866,-13.000,0.208,0.112
685.985,12.000,0.209,0.258
686.103,-4.000,0.210,0.122
686.221,20.000,0.211,0.076
686.339,-13.000,0.212,0.092
686.457,0.000,0.213,0.438
686.576,14.000,0.214,0.146
686.694,-2.000,0.215,0.092
686.812,1.000,0.216,0.215
686.930,0.000,0.218,0.341
687.048,24.000,0.219,0.360
687.166,3.000,0.220,0.523
687.284,18.000,0.221,0.202
687.402,-10.000,0.222,0.076
687.520,11.000,0.223,0.190
687.638,3.000,0.224,0.239
687.756,-10.000,0.225,0.109
687.874,0.000,0.226,0.013
687.992,-7.000,0.227,0.545
688.110,-3.000,0.228,0.014
688.227,14.000,0.229,0.274
688.345,4.000,0.230,0.022
688.463,-3.000,0.231,0.053
688.581,1.000,0.233,0.226
688.699,-14.000,0.234,0.146
688.816,4.000,0.235,0.349
688.934,-16.000,0.236,0.299
689.052,-22.000,0.237,0.199
689.169,-4.000,0.238,0.005
689.287,8.000,0.239,0.716
689.405,5.000,0.240,0.353
689.522,6.000,0.241,0.428
689.640,15.000,0.242,0.497
689.757,11.000,0.243,0.424
689.875,-1.000,0.244,0.170
689.992,37.000,0.245,0.504
690.110,23.000,0.246,0.010
690.227,-6.000,0.248,0.045
690.345,9.000,0.249,0.074
690.462,-3.000,0.250,0.036
690.580,12.000,0.251,0.076
690.697,-11.000,0.252,0.377
690.814,8.000,0.253,0.335
690.932,-21.000,0.254,0.039
691.049,14.000,0.255,0.109
691.166,-26.000,0.256,0.311
691.283,15.000,0.257,0.184
691.401,2.000,0.258,0.268
691.518,7.000,0.259,0.720
691.635,-8.000,0.260,1.075
691.752,-9.000,0.261,1.101
691.869,-3.000,0.263,1.117
691.986,1.000,0.264,1.623
692.104,19.000,0.265,1.345
692.221,-16.000,0.266,2.183
692.338,7.000,0.267,1.922
692.455,-1.000,0.268,2.224
692.572,15.000,0.269,1.924
692.689,1.000,0.270,1.881
692.806,14.000,0.271,1.610
692.923,5.000,0.272,2.095
693.039,-7.000,0.273,2.714
693.156,-5.000,0.274,2.374
693.273,14.000,0.275,1.749
693.390,12.000,0.276,1.208
693.507,-19.000,0.278,0.538
693.624,-14.000,0.279,0.038
693.740,19.000,0.280,1.496
693.857,-4.000,0.281,2.419
693.974,4.000,0.282,2.874
694.091,11.000,0.283,3.569
694.207,-3.000,0.284,4.169
694.324,15.000,0.285,3.548
694.441,-2.000,0.286,3.231
694.557,5.000,0.287,2.069
694.674,8.000,0.288,0.260
694.790,1.000,0.289,0.682
694.907,0.000,0.290,1.990
695.023,2.000,0.291,3.228
695.140,11.000,0.293,3.103
695.256,-1.000,0.294,3.225
695.373,9.000,0.295,2.045
695.489,-1.000,0.296,0.750
695.606,32.000,0.297,0.356
695.722,26.000,0.298,1.450
695.838,-2.000,0.299,1.965
695.955,12.000,0.300,2.223
696.071,12.000,0.301,2.073
696.187,4.000,0.302,1.125
696.304,0.000,0.303,0.925
696.420,-1.000,0.304,0.094
696.536,13.000,0.305,1.421
696.652,1.000,0.306,1.253
696.769,2.000,0.308,1.189
696.885,17.000,0.309,0.497
697.001,7.000,0.310,0.145
697.117,2.000,0.311,0.155
697.233,-4.000,0.312,0.392
697.349,7.000,0.313,0.495
697.465,2.000,0.314,0.463
697.581,18.000,0.315,0.363
697.697,2.000,0.316,0.042
697.813,-8.000,0.317,0.459
697.929,-6.000,0.318,0.394
698.045,-16.000,0.319,0.236
698.161,16.000,0.320,0.239
698.277,-10.000,0.321,0.249
698.393,-18.000,0.323,0.089
698.509,-20.000,0.324,0.047
698.624,4.000,0.325,0.505
