wellenlaenge,arbitraer
-0.000001,0.0229688
-0.0000009998,0.00984375
-0.0000009996,0.0194531
-0.0000009994,0.0115625
-0.0000009992,-0.00789062
-0.000000999,-0.0628125
-0.0000009988,-0.0705469
-0.0000009986,-0.0710156
-0.0000009984,-0.109687
-0.0000009982,-0.129844
-0.000000998,-0.110156
-0.0000009978,-0.0991406
-0.0000009976,-0.0682031
-0.0000009974,-0.016875
-0.0000009972,0.0321875
-0.000000997,0.0959375
-0.0000009968,0.111563
-0.0000009966,0.153281
-0.0000009964,0.150313
-0.0000009962,0.160313
-0.000000996,0.149375
-0.0000009958,0.150859
-0.0000009956,0.161406
-0.0000009954,0.166328
-0.0000009952,0.139844
-0.000000995,0.135313
-0.0000009948,0.0995313
-0.0000009946,0.118516
-0.0000009944,0.211172
-0.0000009942,0.43
-0.000000994,0.70625
-0.0000009938,1.01383
-0.0000009936,1.31398
-0.0000009934,1.56359
-0.0000009932,1.72602
-0.000000993,1.81484
-0.0000009928,1.82
-0.0000009926,1.75727
-0.0000009924,1.55852
-0.0000009922,1.3068
-0.000000992,1.0882
-0.0000009918,0.861719
-0.0000009916,0.693984
-0.0000009914,0.570703
-0.0000009912,0.482266
-0.000000991,0.403281
-0.0000009908,0.296563
-0.0000009906,0.234141
-0.0000009904,0.162344
-0.0000009902,0.138047
-0.00000099,0.11
-0.0000009898,0.0989844
-0.0000009896,0.0896094
-0.0000009894,0.0989063
-0.0000009892,0.0605469
-0.000000989,0.0703906
-0.0000009888,0.0684375
-0.0000009886,0.1
-0.0000009884,0.0750781
-0.0000009882,0.0500781
-0.000000988,0.0594531
-0.0000009878,0.0514063
-0.0000009876,0.0304688
-0.0000009874,0.0391406
-0.0000009872,0.0372656
-0.000000987,-0.00476562
-0.0000009868,-0.0259375
-0.0000009866,-0.0482031
-0.0000009864,-0.05375
-0.0000009862,-0.0944531
-0.000000986,-0.0989844
-0.0000009858,-0.118516
-0.0000009856,-0.102187
-0.0000009854,-0.102187
-0.0000009852,-0.0425781
-0.000000985,-0.000078125
-0.0000009848,0.0110938
-0.0000009846,0.0869531
-0.0000009844,0.0991406
-0.0000009842,0.137188
-0.000000984,0.159766
-0.0000009838,0.160156
-0.0000009836,0.159297
-0.0000009834,0.170234
-0.0000009832,0.144688
-0.000000983,0.129766
-0.0000009828,0.140156
-0.0000009826,0.120078
-0.0000009824,0.120469
-0.0000009822,0.108125
-0.000000982,0.195234
-0.0000009818,0.347813
-0.0000009816,0.657188
-0.0000009814,0.948281
-0.0000009812,1.27109
-0.000000981,1.5325
-0.0000009808,1.71109
-0.0000009806,1.82227
-0.0000009804,1.84969
-0.0000009802,1.74578
-0.00000098,1.6007
-0.0000009798,1.3582
-0.0000009796,1.13984
-0.0000009794,0.9125
-0.0000009792,0.724297
-0.000000979,0.613828
-0.0000009788,0.512578
-0.0000009786,0.396563
-0.0000009784,0.317422
-0.0000009782,0.249453
-0.000000978,0.19
-0.0000009778,0.148828
-0.0000009776,0.11
-0.0000009774,0.0792969
-0.0000009772,0.08
-0.000000977,0.09
-0.0000009768,0.0996875
-0.0000009766,0.0792969
-0.0000009764,0.0697656
-0.0000009762,0.0603906
-0.000000976,0.0599219
-0.0000009758,0.07
-0.0000009756,0.0597656
-0.0000009754,0.0497656
-0.0000009752,0.0597656
-0.000000975,0.0105469
-0.0000009748,0.00132813
-0.0000009746,0.0199219
-0.0000009744,-0.02
-0.0000009742,-0.0415625
-0.000000974,-0.0682812
-0.0000009738,-0.08
-0.0000009736,-0.0897656
-0.0000009734,-0.0979687
-0.0000009732,-0.120312
-0.000000973,-0.093125
-0.0000009728,-0.0725
-0.0000009726,-0.03
-0.0000009724,0.0158594
-0.0000009722,0.0880469
-0.000000972,0.0989063
-0.0000009718,0.129609
-0.0000009716,0.139375
-0.0000009714,0.15
-0.0000009712,0.14
-0.000000971,0.140625
-0.0000009708,0.119688
-0.0000009706,0.151484
-0.0000009704,0.120625
-0.0000009702,0.0998438
-0.00000097,0.109844
-0.0000009698,0.141094
-0.0000009696,0.154063
-0.0000009694,0.350156
-0.0000009692,0.590234
-0.000000969,0.918125
-0.0000009688,1.21305
-0.0000009686,1.49258
-0.0000009684,1.69875
-0.0000009682,1.79172
-0.000000968,1.82992
-0.0000009678,1.77047
-0.0000009676,1.60523
-0.0000009674,1.3832
-0.0000009672,1.15109
-0.000000967,0.953047
-0.0000009668,0.773906
-0.0000009666,0.63
-0.0000009664,0.490859
-0.0000009662,0.403594
-0.000000966,0.347344
-0.0000009658,0.26375
-0.0000009656,0.208203
-0.0000009654,0.165547
-0.0000009652,0.116719
-0.000000965,0.088125
-0.0000009648,0.0596875
-0.0000009646,0.0707031
-0.0000009644,0.0803125
-0.0000009642,0.0895313
-0.000000964,0.0701563
-0.0000009638,0.0704688
-0.0000009636,0.0796875
-0.0000009634,0.0586719
-0.0000009632,0.0500781
-0.000000963,0.0599219
-0.0000009628,0.0503906
-0.0000009626,0.04
-0.0000009624,0.0200781
-0.0000009622,-0.00117187
-0.000000962,-0.0389844
-0.0000009618,-0.049375
-0.0000009616,-0.0700781
-0.0000009614,-0.0810156
-0.0000009612,-0.110391
-0.000000961,-0.1
-0.0000009608,-0.0909375
-0.0000009606,-0.0730469
-0.0000009604,-0.0605469
-0.0000009602,-0.0526562
-0.00000096,0.0003125
-0.0000009598,0.0466406
-0.0000009596,0.0771094
-0.0000009594,0.143438
-0.0000009592,0.159688
-0.000000959,0.169922
-0.0000009588,0.159922
-0.0000009586,0.169844
-0.0000009584,0.140313
-0.0000009582,0.119141
-0.000000958,0.120234
-0.0000009578,0.129844
-0.0000009576,0.12
-0.0000009574,0.12375
-0.0000009572,0.183516
-0.000000957,0.317813
-0.0000009568,0.582422
-0.0000009566,0.883516
-0.0000009564,1.19922
-0.0000009562,1.5
-0.000000956,1.69391
-0.0000009558,1.77633
-0.0000009556,1.81969
-0.0000009554,1.75875
-0.0000009552,1.65375
-0.000000955,1.4007
-0.0000009548,1.16813
-0.0000009546,0.961172
-0.0000009544,0.761484
-0.0000009542,0.656172
