wellenlaenge arbitrary
662.491 19.198
662.614 9.701
662.736 37.206
662.859 30.714
662.982 95.224
663.104 208.737
663.227 159.252
663.349 94.770
663.472 4.290
663.594 108.812
663.717 197.337
663.839 110.865
663.962 88.394
664.084 130.926
664.207 120.460
664.329 80.997
664.451 92.535
664.574 166.076
664.696 297.619
664.818 326.165
664.940 225.712
665.063 267.262
665.185 144.813
665.307 89.367
665.429 104.923
665.551 161.481
665.673 109.040
665.796 -13.398
665.918 123.166
666.040 197.732
666.162 200.299
666.284 127.869
666.406 81.440
666.528 67.013
666.650 73.589
666.772 133.165
666.893 -20.256
667.015 -18.675
667.137 52.907
667.259 37.491
667.381 34.076
667.503 -30.336
667.624 70.253
667.746 219.843
667.868 174.435
667.989 86.029
668.111 61.624
668.233 84.221
668.354 162.820
668.476 65.420
668.597 43.021
668.719 60.624
668.841 50.228
668.962 91.834
669.084 294.441
669.205 250.049
669.326 85.659
669.448 101.270
669.569 206.882
669.691 148.496
669.812 183.111
669.933 233.727
670.055 154.345
670.176 154.963
670.297 72.583
670.418 57.204
670.540 108.826
670.661 94.449
670.782 98.073
670.903 105.699
671.024 113.325
671.145 154.953
671.266 160.581
671.387 184.210
671.508 235.841
671.629 174.472
671.750 210.105
671.871 107.738
671.992 85.372
672.113 195.007
672.234 202.643
672.355 97.279
672.476 124.917
672.597 131.555
672.717 259.194
672.838 259.834
672.959 226.475
673.080 215.116
673.200 235.758
673.321 309.401
673.442 270.044
673.562 225.688
673.683 285.333
673.804 238.978
673.924 259.624
674.045 227.270
674.165 137.917
674.286 104.565
674.406 74.213
674.527 177.861
674.647 286.510
674.767 218.160
674.888 191.810
675.008 135.460
675.129 160.111
675.249 115.762
675.369 88.413
675.489 227.065
675.610 242.718
675.730 119.370
675.850 94.023
675.970 76.676
676.091 89.330
676.211 106.983
676.331 153.637
676.451 115.292
676.571 78.946
676.691 177.601
676.811 254.256
676.931 118.911
677.051 219.566
677.171 447.221
677.291 334.876
677.411 130.532
677.531 79.188
677.651 216.843
677.770 281.499
677.890 330.155
678.010 161.811
678.130 162.467
678.250 308.123
678.369 202.778
678.489 186.434
678.609 169.090
678.728 137.746
678.848 190.402
678.968 100.057
679.087 106.713
679.207 117.368
679.326 102.023
679.446 165.679
679.565 202.334
679.685 186.989
679.804 206.643
679.924 287.298
680.043 266.952
680.162 143.606
680.282 206.260
680.401 298.914
680.520 253.567
680.640 91.220
680.759 155.873
680.878 209.526
680.998 330.178
681.117 227.830
681.236 180.482
681.355 294.133
681.474 279.784
681.593 183.435
681.712 198.085
681.832 144.735
681.951 156.385
682.070 354.034
682.189 328.682
682.308 273.331
682.427 111.979
682.545 133.626
682.664 182.273
682.783 319.920
682.902 258.566
683.021 225.211
683.140 233.856
683.259 245.501
683.377 235.145
683.496 148.789
683.615 50.432
683.734 89.074
683.852 251.716
683.971 216.357
684.090 245.998
684.208 307.638
684.327 314.278
684.445 218.917
684.564 238.555
684.682 236.193
684.801 288.831
684.919 342.467
685.038 303.103
